,행정동,연도,전출자수,전입자수,전출_대비_전입_비율
1,고운동,2018,22105.0,38953,176.2180502148835
6,금남면,2018,18741.0,18807,100.35216904113975
12,대평동,2018,3175.0,20685,651.496062992126
17,도담동,2018,30954.0,36851,119.05084964786457
22,보람동,2018,17045.0,46069,270.27867409797597
27,부강면,2018,8161.0,8857,108.52836662173753
32,새롬동,2018,,126222,
36,소담동,2018,6610.0,15652,236.7927382753404
41,소정면,2018,3047.0,1982,65.0475877912701
46,아름동,2018,15611.0,20364,130.4464800461213
51,연기면,2018,4984.0,4177,83.80818619582665
56,연동면,2018,5128.0,4309,84.02886115444618
61,연서면,2018,13148.0,12808,97.41405536963796
66,장군면,2018,11787.0,12000,101.80707559175363
71,전동면,2018,4475.0,3911,87.39664804469274
76,전의면,2018,7919.0,6597,83.30597297638592
81,조치원읍,2018,92088.0,92466,100.41047693510554
86,종촌동,2018,24110.0,28279,117.29158025715472
91,한솔동,2018,16615.0,18182,109.43123683418598
