행정동명,2017_평균거래가격,2018_평균거래가격,2019_평균거래가격,2020_평균거래가격
금남면,2928341.4134185887,3311411.091929565,3692563.5425445046,3630031.3505526395
부강면,2281115.652309023,2220009.627429559,1960811.7108440073,3239846.6350282575
새롬동,4410645.753378942,거래 없음,거래 없음,거래 없음
소정면,1082442.1238141565,1075025.5550792336,921696.4262192163,1029502.0124266602
연기면,3671923.4587583696,3274924.090293436,2315246.1356080626,2942436.511140041
연동면,2497967.795644329,2329982.3795058858,3680926.8714457178,5013508.482817473
연서면,2703816.96443672,2404926.0227257726,2308438.4846854545,2643087.7245594948
장군면,2919266.9301730962,2982066.914941418,3339017.434196478,4652749.9542663125
전동면,1376832.0015975318,1343976.3047276135,1184204.5721507918,1663347.3811607119
전의면,1785655.3647969253,1530691.3140214072,2027344.7187035778,3063221.6999221887
조치원읍,1922638.116427598,1972993.8464878611,1816374.929033097,2139266.1302603004
고운동,거래 없음,2558271.7453098353,3943550.946539159,4709206.451405645
한솔동,거래 없음,2171879.1766907247,거래 없음,거래 없음
도담동,거래 없음,거래 없음,4006141.150506165,6556421.650761273
아름동,거래 없음,거래 없음,거래 없음,4662628.007749244
