행정동명,2017_평균거래가격,2018_평균거래가격,2019_평균거래가격,2020_평균거래가격
고운동,1201056.9300984866,2502955.74753163,2745737.9656187077,3246527.548797084
금남면,1856328.2195158177,1963921.6983749345,2198583.1941043446,2536311.077947304
도담동,2046892.6442015767,2074261.1349751968,2993332.7206982877,2628157.971737448
부강면,2002152.8823981858,1760194.0688314456,1839797.9086962298,2396636.2591522657
소담동,2602472.3487312947,거래 없음,거래 없음,거래 없음
소정면,987014.1947795198,1376775.30742573,180277.62754642149,735294.1176470588
아름동,2044153.7203597713,1842412.1183594002,3815753.6113382396,1944340.392886024
연기면,1664108.7099497225,1561610.1138649066,1630971.6234880104,2036317.357565272
연동면,775051.3697152645,718897.594639929,679733.6120212491,1379936.903771265
연서면,1891942.687601506,1587751.1506212715,1411109.3399377265,2329320.0908564846
장군면,1908118.7589105526,1875760.4069181394,1964014.425678809,2309543.166329795
전동면,1285244.0219001425,712201.3788680456,754830.9178743962,297075.9241183211
전의면,1763666.8014327688,1219685.9699394524,2054263.1440319228,2153601.3147699754
조치원읍,1944507.273588696,1851174.0524346055,2045213.7001235648,2163543.0718614347
새롬동,거래 없음,4543718.976708667,3556140.928547909,6479441.613766618
종촌동,거래 없음,거래 없음,2066666.6666666667,거래 없음
