행정동명,2017_평균거래가격,2018_평균거래가격,2019_평균거래가격,2020_평균거래가격
고운동,12614765.24565562,12691589.011190189,12404962.571405925,16082922.56286137
금남면,7417037.332086608,7484152.20019923,7813043.036944469,11120900.241483081
도담동,16452696.361124728,17874601.050047733,18728730.649829805,22867162.912598494
보람동,16933689.288427502,18728776.39144374,20259524.786901042,27738098.391047623
부강면,4347840.459286025,4374658.023912068,4277559.972148307,4498638.746544017
새롬동,14453253.591084795,18124606.9547068,20766609.540839225,24663969.44223367
소담동,17471483.737896696,19964856.33213124,19666027.4597766,25793116.15971958
소정면,3643518.518518518,3479158.3011118476,3423611.111111111,3699515.4981447966
아름동,11046133.417627476,12946316.899341086,13159727.910983844,18779417.93459618
연기면,22036249.630642407,18915553.567548733,22900631.041527834,31326489.1613621
연동면,4388281.2596302405,4691292.916301048,4371289.9475884065,5163149.68846909
연서면,5319196.573393558,5434644.318935318,5069554.804443915,6382798.582868153
장군면,3059655.6834908975,3027581.0893327245,3183103.8101064037,3651753.592778782
전동면,3762175.7383633656,4009642.2456519776,3941996.950881718,3639360.3277802155
전의면,4927300.425481556,4746045.98628415,4425613.699101413,4327652.272863438
조치원읍,6304426.7356912615,6273369.224123163,6362904.7187082805,7938855.630052055
종촌동,14184564.495366119,15167535.247023944,15205834.907965945,21489296.910013434
한솔동,12506573.360603496,13702874.926969156,14306289.32798147,20227488.18156221
대평동,거래 없음,20279244.252586316,21788470.30100023,30337376.71813409
