행정동명,2017_평균거래가격,2018_평균거래가격,2019_평균거래가격,2020_평균거래가격
금남면,6557980.195634263,9614908.437395504,3724063.7479385585,6146405.439892945
부강면,3245865.5754197952,3846414.2549245353,6939644.295243719,4630389.089426575
연기면,3959732.0156654846,3048736.0730796596,4572201.230313719,4020484.2430478255
연서면,4268771.5939879725,2222222.222222222,2974165.6003464004,3026498.9257181566
장군면,2792873.051224944,5025955.2430141615,5821909.643580879,5113839.551794016
전동면,2098765.4320987654,2037037.0370370368,3285543.6081242533,거래 없음
전의면,3443738.2755587227,3504575.0822635624,3361460.2309406437,2574708.8172850236
조치원읍,6798624.185354893,3804153.5217282404,4045041.1994127743,7177105.361620471
도담동,거래 없음,17617410.900952175,거래 없음,12743918.57364591
보람동,거래 없음,12280414.464499911,15710726.649996072,13122804.166658085
소담동,거래 없음,거래 없음,13629003.340816574,14206060.458937598
소정면,거래 없음,거래 없음,거래 없음,2034376.8799917297
