행정동명,2017_평균거래가격,2018_평균거래가격,2019_평균거래가격,2020_평균거래가격
금남면,6668960.804322201,6134259.596502425,1393581.081081081,7281705.177034415
도담동,16668185.985976625,16097451.17548449,16395533.08345221,17813665.38069093
부강면,3339245.57050963,8145634.06356063,6483018.208526229,7550886.930178247
연서면,2135330.0055463114,거래 없음,2777777.777777778,거래 없음
전의면,1415094.3396226414,2156862.745098039,2767071.2498841835,2563655.988204341
조치원읍,7469130.650617849,7602318.0836604135,6786678.275006889,7383637.723698729
소담동,거래 없음,15631343.889565567,14015129.117748654,16065841.341500998
연기면,거래 없음,5112734.601335181,1720407.2372525663,7025744.379552585
장군면,거래 없음,1573489.092859697,거래 없음,거래 없음
보람동,거래 없음,거래 없음,17308525.465811856,21034205.328865193
