행정동명,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세_이상
조치원읍,3227,4178,6428,5406,6829,6618,5302,3076,1493,224,8
연기면,81,107,376,334,317,528,496,256,152,23,1
연동면,91,128,302,275,324,545,679,413,309,57,0
부강면,335,378,741,722,820,1100,1038,618,396,47,1
금남면,322,405,884,881,1005,1607,1750,1157,661,115,3
장군면,212,297,996,841,888,1256,1115,588,378,49,1
연서면,313,430,879,721,901,1253,1383,929,551,72,2
전의면,195,393,560,514,686,1031,992,663,481,74,1
전동면,77,122,283,256,339,699,852,519,313,47,2
소정면,98,185,275,183,340,438,409,265,193,23,0
한솔동,2630,3338,1736,2573,4482,2536,1185,495,195,36,2
새롬동,9143,7183,6195,12060,11532,5967,3194,1012,338,79,0
도담동,5659,5266,4417,7407,8401,4519,2262,996,444,86,0
아름동,3566,4304,1778,3439,5954,2661,1177,450,158,38,0
종촌동,4688,4206,2618,5444,6309,3195,1902,804,327,43,0
고운동,6040,4786,2613,6645,7481,3429,2309,808,229,47,0
소담동,5761,3393,3129,7641,6180,3647,1828,584,187,49,4
보람동,3196,2505,1891,3723,3902,2276,1278,437,146,32,0
대평동,1639,1065,1304,2277,1883,1634,807,228,105,26,0
